URL,Title,Summary,Published
https://www.tijd.be/r/t/1/id/10450731,Centrum voor Cybersecurity linkt China aan cyberaanval op Ecolo-Kamerlid,11:01 Het Centrum voor Cybersecurity België heeft Samuel Cogolati gewaarschuwd dat hij het doelwit was van een cyberaanval die wellicht werd aangestuurd vanuit China. Het Kamerlid van Ecolo is een vocale st...,"Wed, 01 Mar 2023 10:01:57 GMT"
https://www.tijd.be/r/t/1/id/10450681,Meer dan 30 doden na treinbotsing in Griekenland,08:22 Bij een frontale botsing van twee treinen in Griekenland zijn in de nacht van dinsdag op woensdag meer dan 30 mensen om het leven gekomen. De vraag is hoe de treinen op hetzelfde spoor konden terechtk...,"Wed, 01 Mar 2023 07:22:06 GMT"
https://www.nieuwsblad.be/cnt/dmf20230301_95712366,Energiewaakhond maakt werk van overwinstbelasting elektriciteitsproducenten,<p>Federale energiewaakhond Creg heeft een belangrijke eerste stap genomen richting de inning van de overwinstbelasting bij de producenten van elektriciteit. Die heffing moet de federale overheid dit en volgend jaar samen een miljard euro opleveren.</p>,"Wed, 01 Mar 2023 16:49:18 +0100"
https://www.tijd.be/r/t/1/id/10450775,Demir haalt bakzeil in strijd tegen capaciteitstarief,17:10 Het Brusselse hof van beroep heeft het beroep dat Vlaams minister van Energie Zuhal Demir heeft aangespannen tegen het capaciteitstarief van de VREG ongegrond verklaard.,"Wed, 01 Mar 2023 16:10:01 GMT"
https://www.tijd.be/r/t/1/id/10450814,Belgisch consulaat waarschuwde voor  frauduleuze woon-werkvisa,17:20 Het Belgisch consulaat in Istanboel uitte in oktober bezorgdheden over Turken die met frauduleuze woon-werkvergunningen vanuit België naar Duitsland proberen te migreren. Dat blijkt uit briefwisseling...,"Wed, 01 Mar 2023 16:20:43 GMT"
https://www.tijd.be/r/t/1/id/10450775,Demir haalt bakzeil in strijd tegen capaciteitstarief,17:09 Het Brusselse hof van beroep heeft het beroep dat Vlaams minister van Energie Zuhal Demir heeft aangespannen tegen het capaciteitstarief van de VREG ongegrond verklaard.,"Wed, 01 Mar 2023 16:09:59 GMT"
https://www.nieuwsblad.be/cnt/dmf20230301_96498996,Proximus haalt 500 miljoen euro op met bedrijfsobligatie,"<p>Telecombedrijf Proximus heeft met de uitgifte van een bedrijfsobligatie 500 miljoen euro opgehaald bij institutionele beleggers. De opbrengst zal onder meer worden gebruikt om bestaande schulden te herfinancieren, zo meldt het bedrijf woensdag nabeurs.</p>","Wed, 01 Mar 2023 19:00:14 +0100"
https://www.tijd.be/r/t/1/id/10450839,Niemand durft Vlaamse regering op het spel te zetten,"19:19 Ook al heeft een nachtelijke onderhandelingsronde geen stikstofakkoord opgeleverd, toch willen de opponenten CD&amp;V en N-VA het nog een kans geven. Geen akkoord komt de coalitiepartners in de Vlaamse re...","Wed, 01 Mar 2023 18:19:51 GMT"
https://www.tijd.be/r/t/1/id/10450698,Fins parlement keurt aanvraag NAVO-toetreding goed,15:00 Finland gooit zijn neutraliteit overboord en kiest resoluut voor het NAVO-lidmaatschap. Maar dan moeten Turkije en Hongarije hun verzet tegen de toetreding opgeven.,"Wed, 01 Mar 2023 14:00:40 GMT"
https://www.tijd.be/r/t/1/id/10450884,Van Peteghem probeert rond fiscale taboes te fietsen,01:00 In de zoektocht naar een fiscale hervorming probeert minister van Financiën Vincent Van Peteghem tussen de gevoeligste fiscale symbolen heen te fietsen en toch te eindigen op 6 miljard euro.,"Thu, 02 Mar 2023 00:00:17 GMT"
