URL,Title,Summary,Published,Image
https://www.nieuwsblad.be/cnt/dmf20230314_93378067,Volkswagen verhoogt investeringen in elektrische wagens,"<p>De Volkswagen Group, het grootste autoconcern van Europa, zal de komende jaren 122 miljard euro investeren in elektrische voertuigen en digitalisering. Dat is twee derde van alle investeringen die tot 2027 gepland zijn. Dat heeft de groep aangekondigd.</p>","Tue, 14 Mar 2023 10:21:16 +0100",https://static.nieuwsblad.be/Assets/Images_Upload/2023/03/14/a156497f-35a2-45f2-8b63-1d249707a4e0.jpg
https://www.nieuwsblad.be/cnt/dmf20230314_93200670,Benzineprijs daalt woensdag naar laagste niveau in twee maanden,"<p>De maximumprijs van benzine gaat woensdag omlaag. Wie benzine 95 (E10) tankt, betaalt dan nog maximaal 1,757 euro per liter, het laagste niveau in een tweetal maanden.</p>","Tue, 14 Mar 2023 09:52:17 +0100",https://static.nieuwsblad.be/Assets/Images_Upload/2023/03/07/46ab98c6-894e-48c7-a689-a868db4a6de1.jpg
https://www.nieuwsblad.be/cnt/dmf20230314_92688989,"LIVE. Sociaal overleg bij Delhaize belooft heftig te verlopen: “De intrekking van het plan, dat is onze doelstelling”","<p>Personeelsleden van winkelketen Delhaize stromen dinsdagochtend in groten getale toe voor de aangekondigde protestactie in Zellik. Daar wordt het eerste sociaal overleg gehouden over de plannen van het bedrijf. De directie kondigde een week geleden aan dat ze de 128 winkels in eigen beheer – waar  zowat 9.000 mensen werken – wil verzelfstandigen. De bonden zitten onderling samen vanaf 8.30 uur, om 9.30 uur is het overleg met de directie voorzien.</p>","Tue, 14 Mar 2023 08:20:11 +0100",https://static.nieuwsblad.be/Assets/Images_Upload/2023/03/14/9de68f04-6ece-4e11-98e9-3791c99c182d.jpg
https://www.nieuwsblad.be/cnt/dmf20230314_98634690,Borrell vindt dat Amerikanen regels van internationale handel niet respecteren,"<p>De hoge vertegenwoordiger van het Europees buitenlands beleid, Josep Borrell, vindt dat de Amerikaanse Inflation Reduction Act, een grootschalig subsidieprogramma, de internationale handelsregels op verschillende punten schendt. Dat heeft hij dinsdag gezegd.</p>","Wed, 15 Mar 2023 00:15:49 +0100",https://static.nieuwsblad.be/Assets/Images_Upload/2023/03/14/fe53cd5a-ca5b-49ce-a309-58cb2740c546.jpg
https://www.tijd.be/r/t/1/id/10429199,Teleurstelling overheerst na klimaattop Egypte,"20/11 Na een nachtelijke onderhandelingsmarathon hebben de deelnemers aan de VN-klimaattop in het Egyptische Sharm-el-Sheikh zondagochtend, met anderhalve dag vertraging, een slotverklaring aangenomen. 'De ...","Sun, 20 Nov 2022 07:18:40 GMT",
https://www.tijd.be/r/t/1/id/10405768,Amerikaanse dochter Radial helpt Bpost over de lat,"04/08 Bpost deed het in het tweede kwartaal beter dan verwacht. Maar we moeten waakzaam blijven en zoveel mogelijk de kosten onder controle houden, zegt topman Dirk Tirez. Hij stelde de vooruitzichten voor ...","Thu, 04 Aug 2022 19:40:21 GMT",
https://www.tijd.be/r/t/1/id/10111918,Hoe leest u de fiche van uw groepsverzekering?,"08/04 Elk jaar ontvangt u een overzicht met een stand van zaken over het gespaarde bedrag in uw groepsverzekering. Werkgevers die een aanvullend pensioen aanbieden, storten maandelijks een bepaald bedrag in...","Fri, 08 Apr 2022 04:20:01 GMT",
https://www.tijd.be/r/t/1/id/10217952,Corona in België | Lichte stijging besmettingen door nieuwe Omikronvariant,17/03 Een gids door de dagelijkse Covid-19-statistieken.,"Thu, 17 Mar 2022 12:58:42 GMT",
https://www.tijd.be/r/t/1/id/10318093,Volkswagen verkoopt Bugatti aan 'de Elon Musk van de Balkan',05/07/2021 Het Kroatische Rimac verwerft een meerderheidsbelang in de bouwer van zeer exclusieve sportwagens.,"Mon, 05 Jul 2021 18:36:49 GMT",
https://www.tijd.be/r/t/1/id/10251905,VanMoof tankt 34 miljoen voor Nederlandse e-bikedroom,16/09/2020 De Nederlandse e-fietsenbouwer VanMoof haalt 34 miljoen euro op en wil binnen drie jaar 1 miljard euro omzet draaien. In Brussel opende het bedrijf een pop-upwinkel naast concurrent Cowboy.,"Wed, 16 Sep 2020 11:13:10 GMT",
